==== VAE Training Run ====
Started: Tue Oct 21 08:35:33 +08 2025
Job Name: vae_train
Job ID: 2799
Node: TC2N01
GPU(s) requested: 1
Script: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py
Content Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/
Content Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/test/
Style Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Style Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/test/
Checkpoint Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/
Output File: /home/msai/birul001/gan-project/gan-HC-SCDNet/ccds-files/train_output/output_20251021_083533_2799.txt
===========================

Executing: python /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py --content_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/ --style_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Using device: cuda
Loaded validation datasets. Style: 12217, Content: 17744
✓ Loaded checkpoint from /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/beta_vae_epoch1.pth
  Resuming from epoch 2
Epoch 4/30 | Step 1100/6283 | Loss 0.2161 (rec 0.2014, kl 0.0059, beta=2.50)
Epoch 4/30 | Step 1200/6283 | Loss 0.2163 (rec 0.1962, kl 0.0080, beta=2.50)
Epoch 4/30 | Step 1300/6283 | Loss 0.2202 (rec 0.2029, kl 0.0069, beta=2.50)
Epoch 4/30 | Step 1400/6283 | Loss 0.2138 (rec 0.1927, kl 0.0085, beta=2.50)
Epoch 4/30 | Step 1500/6283 | Loss 0.2197 (rec 0.2047, kl 0.0060, beta=2.50)
Epoch 4/30 | Step 1600/6283 | Loss 0.2299 (rec 0.2135, kl 0.0065, beta=2.50)
Epoch 4/30 | Step 1700/6283 | Loss 0.2129 (rec 0.1948, kl 0.0072, beta=2.50)
Epoch 4/30 | Step 1800/6283 | Loss 0.2139 (rec 0.1935, kl 0.0081, beta=2.50)
Epoch 4/30 | Step 1900/6283 | Loss 0.2068 (rec 0.1852, kl 0.0086, beta=2.50)
Epoch 4/30 | Step 2000/6283 | Loss 0.2302 (rec 0.2135, kl 0.0067, beta=2.50)
Epoch 4/30 | Step 2100/6283 | Loss 0.2078 (rec 0.1885, kl 0.0077, beta=2.50)
Epoch 4/30 | Step 2200/6283 | Loss 0.2771 (rec 0.2591, kl 0.0072, beta=2.50)
Epoch 4/30 | Step 2300/6283 | Loss 0.2327 (rec 0.2106, kl 0.0088, beta=2.50)
Epoch 4/30 | Step 2400/6283 | Loss 0.2110 (rec 0.1949, kl 0.0064, beta=2.50)
Epoch 4/30 | Step 2500/6283 | Loss 0.2166 (rec 0.1992, kl 0.0070, beta=2.50)
Epoch 4/30 | Step 2600/6283 | Loss 0.2227 (rec 0.2044, kl 0.0073, beta=2.50)
Epoch 4/30 | Step 2700/6283 | Loss 0.1932 (rec 0.1767, kl 0.0066, beta=2.50)
Epoch 4/30 | Step 2800/6283 | Loss 0.2015 (rec 0.1843, kl 0.0069, beta=2.50)
Epoch 4/30 | Step 2900/6283 | Loss 0.2152 (rec 0.1999, kl 0.0061, beta=2.50)
Epoch 4/30 | Step 3000/6283 | Loss 0.2095 (rec 0.1868, kl 0.0091, beta=2.50)
Epoch 4/30 | Step 3100/6283 | Loss 0.2104 (rec 0.1930, kl 0.0070, beta=2.50)
